"Element","Epics Channel Access Name"
"CMB24","BPMS:L3B:2483"
"QCM24","QUAD:L3B:2485"
"XCM24","XCOR:L3B:2485"
"YCM24","YCOR:L3B:2485"
"CAVL251","ACCL:L3B:2510"
"CAVL252","ACCL:L3B:2520"
"CAVL253","ACCL:L3B:2530"
"CAVL254","ACCL:L3B:2540"
"CAVL255","ACCL:L3B:2550"
"CAVL256","ACCL:L3B:2560"
"CAVL257","ACCL:L3B:2570"
"CAVL258","ACCL:L3B:2580"
"CMB25","BPMS:L3B:2583"
"QCM25","QUAD:L3B:2585"
"XCM25","XCOR:L3B:2585"
"YCM25","YCOR:L3B:2585"
"CAVL261","ACCL:L3B:2610"
"CAVL262","ACCL:L3B:2620"
"CAVL263","ACCL:L3B:2630"
"CAVL264","ACCL:L3B:2640"
"CAVL265","ACCL:L3B:2650"
"CAVL266","ACCL:L3B:2660"
"CAVL267","ACCL:L3B:2670"
"CAVL268","ACCL:L3B:2680"
"CMB26","BPMS:L3B:2683"
"QCM26","QUAD:L3B:2685"
"XCM26","XCOR:L3B:2685"
"YCM26","YCOR:L3B:2685"
"CAVL271","ACCL:L3B:2710"
"CAVL272","ACCL:L3B:2720"
"CAVL273","ACCL:L3B:2730"
"CAVL274","ACCL:L3B:2740"
"CAVL275","ACCL:L3B:2750"
"CAVL276","ACCL:L3B:2760"
"CAVL277","ACCL:L3B:2770"
"CAVL278","ACCL:L3B:2780"
"CMB27","BPMS:L3B:2783"
"QCM27","QUAD:L3B:2785"
"XCM27","XCOR:L3B:2785"
"YCM27","YCOR:L3B:2785"
"CAVL281","ACCL:L3B:2810"
"CAVL282","ACCL:L3B:2820"
"CAVL283","ACCL:L3B:2830"
"CAVL284","ACCL:L3B:2840"
"CAVL285","ACCL:L3B:2850"
"CAVL286","ACCL:L3B:2860"
"CAVL287","ACCL:L3B:2870"
"CAVL288","ACCL:L3B:2880"
"CMB28","BPMS:L3B:2883"
"QCM28","QUAD:L3B:2885"
"XCM28","XCOR:L3B:2885"
"YCM28","YCOR:L3B:2885"
"CAVL291","ACCL:L3B:2910"
"CAVL292","ACCL:L3B:2920"
"CAVL293","ACCL:L3B:2930"
"CAVL294","ACCL:L3B:2940"
"CAVL295","ACCL:L3B:2950"
"CAVL296","ACCL:L3B:2960"
"CAVL297","ACCL:L3B:2970"
"CAVL298","ACCL:L3B:2980"
"CMB29","BPMS:L3B:2983"
"QCM29","QUAD:L3B:2985"
"XCM29","XCOR:L3B:2985"
"YCM29","YCOR:L3B:2985"
"CAVL301","ACCL:L3B:3010"
"CAVL302","ACCL:L3B:3020"
"CAVL303","ACCL:L3B:3030"
"CAVL304","ACCL:L3B:3040"
"CAVL305","ACCL:L3B:3050"
"CAVL306","ACCL:L3B:3060"
"CAVL307","ACCL:L3B:3070"
"CAVL308","ACCL:L3B:3080"
"CMB30","BPMS:L3B:3083"
"QCM30","QUAD:L3B:3085"
"XCM30","XCOR:L3B:3085"
"YCM30","YCOR:L3B:3085"
"CAVL311","ACCL:L3B:3110"
"CAVL312","ACCL:L3B:3120"
"CAVL313","ACCL:L3B:3130"
"CAVL314","ACCL:L3B:3140"
"CAVL315","ACCL:L3B:3150"
"CAVL316","ACCL:L3B:3160"
"CAVL317","ACCL:L3B:3170"
"CAVL318","ACCL:L3B:3180"
"CMB31","BPMS:L3B:3183"
"QCM31","QUAD:L3B:3185"
"XCM31","XCOR:L3B:3185"
"YCM31","YCOR:L3B:3185"
"CAVL321","ACCL:L3B:3210"
"CAVL322","ACCL:L3B:3220"
"CAVL323","ACCL:L3B:3230"
"CAVL324","ACCL:L3B:3240"
"CAVL325","ACCL:L3B:3250"
"CAVL326","ACCL:L3B:3260"
"CAVL327","ACCL:L3B:3270"
"CAVL328","ACCL:L3B:3280"
"CMB32","BPMS:L3B:3283"
"QCM32","QUAD:L3B:3285"
"XCM32","XCOR:L3B:3285"
"YCM32","YCOR:L3B:3285"
"CAVL331","ACCL:L3B:3310"
"CAVL332","ACCL:L3B:3320"
"CAVL333","ACCL:L3B:3330"
"CAVL334","ACCL:L3B:3340"
"CAVL335","ACCL:L3B:3350"
"CAVL336","ACCL:L3B:3360"
"CAVL337","ACCL:L3B:3370"
"CAVL338","ACCL:L3B:3380"
"CMB33","BPMS:L3B:3383"
"QCM33","QUAD:L3B:3385"
"XCM33","XCOR:L3B:3385"
"YCM33","YCOR:L3B:3385"
"CAVL341","ACCL:L3B:3410"
"CAVL342","ACCL:L3B:3420"
"CAVL343","ACCL:L3B:3430"
"CAVL344","ACCL:L3B:3440"
"CAVL345","ACCL:L3B:3450"
"CAVL346","ACCL:L3B:3460"
"CAVL347","ACCL:L3B:3470"
"CAVL348","ACCL:L3B:3480"
"CMB34","BPMS:L3B:3483"
"QCM34","QUAD:L3B:3485"
"XCM34","XCOR:L3B:3485"
"YCM34","YCOR:L3B:3485"
"CAVL351","ACCL:L3B:3510"
"CAVL352","ACCL:L3B:3520"
"CAVL353","ACCL:L3B:3530"
"CAVL354","ACCL:L3B:3540"
"CAVL355","ACCL:L3B:3550"
"CAVL356","ACCL:L3B:3560"
"CAVL357","ACCL:L3B:3570"
"CAVL358","ACCL:L3B:3580"
"CMB35","BPMS:L3B:3583"
"QCM35","QUAD:L3B:3585"
"XCM35","XCOR:L3B:3585"
"YCM35","YCOR:L3B:3585"
"BPMX01","BPMS:EXT:351"
"QX01","QUAD:EXT:351"
"XCX01","XCOR:EXT:368"
"RFBX02","BPMS:EXT:738"
"BPMX02","BPMS:EXT:748"
"QX02","QUAD:EXT:748"
"YCX02","YCOR:EXT:762"
"BCXDLU1","BEND:DOG:105"
"BCXDLU2","BEND:DOG:106"
"BCXDLU3","BEND:DOG:107"
